Serial No,Stock Symbol,Metric1,Metric2,Metric3,...
346,ACIC,August-6,Q2-2025,0.38-USD,243.22-M-USD,524.63-M-USD,,7.24,1.55-USD,75.72-M-USD,296.66-M-USD,24.11-M,0.52
347,ACIU,August-6,Q2-2025,0.21-USD,2.38-M-USD,167.21-M-USD,,,0.58-USD,57.82-M-USD,31.01-M-USD,61.45-M,1.08
348,ACIW,July-31,Q2-2025,0.09-USD,380.49-M-USD,4.86-B-USD,,18.32,2.57-USD,203.12-M-USD,1.59-B-USD,103.31-M,0.96
349,ACLS,July-30,Q2-2025,0.58-USD,185.13-M-USD,1.87-B-USD,,10.82,5.48-USD,200.99-M-USD,1.02-B-USD,31.45-M,1.67
350,ACLX,August-18,Q2-2025,1.02-USD,12.87-M-USD,3.52-B-USD,,,2.98-USD,107.35-M-USD,107.94-M-USD,39.51-M,1.20
351,ACM,August-11,Q3-2025,1.27-USD,1.93-B-USD,14.24-B-USD,0.97%,23.42,4.62-USD,402.27-M-USD,16.11-B-USD,131.75-M,0.66
352,ACMR,August-1,Q2-2025,0.48-USD,223.39-M-USD,1.43-B-USD,,14.41,1.70-USD,103.63-M-USD,782.12-M-USD,49.85-M,1.25
353,ACN,June-20,Q3-2025,3.31-USD,17.23-B-USD,193.81-B-USD,1.86%,26.11,12.26-USD,7.26-B-USD,64.90-B-USD,624.33-M,0.62
354,ACNB,July-24,Q2-2025,1.15-USD,38.85-M-USD,439.69-M-USD,3.16%,14.61,2.92-USD,31.85-M-USD,132.19-M-USD,10.07-M,0.89
355,ACNT,August-12,Q2-2025,0.27-USD,56.90-M-USD,131.26-M-USD,,,1.03-USD,15.14-M-USD,177.87-M-USD,8.44-M,0.14
356,ACOG,August-20,Q2-2025,0.46-USD,1.65-M-USD,146.42-M-USD,,,1.29-USD,14.64-M-USD,0.00-USD,12.48-M,1.46
357,ACON,August-22,Q2-2025,271.35-USD,30.00-K-USD,3.90-M-USD,,,4-281.00-USD,6.99-M-USD,45.72-K-USD,581.22-K,0.91
358,ACRS,August-6,Q2-2025,0.14-USD,1.29-M-USD,136.43-M-USD,,,1.40-USD,132.06-M-USD,18.72-M-USD,92.28-M,1.79
359,ACRV,August-8,Q2-2025,0.57-USD,0.00-USD,36.69-M-USD,,,2.22-USD,80.56-M-USD,0.00-USD,22.14-M,1.77
360,ACT,August-5,Q2-2025,1.12-USD,307.54-M-USD,5.28-B-USD,2.35%,7.95,4.48-USD,688.07-M-USD,1.20-B-USD,30.59-M,0.56
361,ACTG,August-18,Q2-2025,0.05-USD,55.00-M-USD,359.68-M-USD,,,0.11-USD,36.06-M-USD,122.31-M-USD,94.62-M,0.81
362,ACTU,September-3,Q2-2025,0.27-USD,0.00-USD,202.67-M-USD,,,1.30-USD,27.29-M-USD,0.00-USD,5.90-M,1.30
363,ACU,July-18,Q2-2025,0.72-USD,58.27-M-USD,147.42-M-USD,1.53%,15.77,2.70-USD,10.02-M-USD,194.49-M-USD,3.32-M,0.44
364,ACVA,August-6,Q2-2025,0.08-USD,195.52-M-USD,2.83-B-USD,,,0.45-USD,79.70-M-USD,637.16-M-USD,162.34-M,1.24
365,ACXP,August-18,Q2-2025,0.12-USD,0.00-USD,9.39-M-USD,,,0.7035-USD,14.10-M-USD,0.00-USD,20.39-M,1.67
366,ADBE,June-13,Q2-2025,4.97-USD,5.80-B-USD,173.76-B-USD,,27.29,15.26-USD,5.56-B-USD,21.52-B-USD,424.72-M,1.00
367,ADCT,August-12,Q2-2025,0.40-USD,18.01-M-USD,241.00-M-USD,,,1.45-USD,157.85-M-USD,70.84-M-USD,77.91-M,2.20
368,ADD,20.73-M-USD,,,,26.86-M-USD,2.83-M-USD,21.99-M,1.62,47,0,60.22-K-USD,571.58-K-USD
369,ADEA,August-12,Q2-2025,0.26-USD,91.01-M-USD,1.37-B-USD,1.54%,19.49,0.69-USD,64.62-M-USD,376.02-M-USD,106.24-M,0.94
370,ADGM,18.30-M-USD,,,11.04-USD,75.04-M-USD,602.00-K-USD,15.10-M,0.94,80,+77-+2-566.67%,7.53-K-USD,938.01-K-USD
371,ADI,August-20,Q3-2025,1.93-USD,2.76-B-USD,104.45-B-USD,1.78%,57.69,3.69-USD,1.64-B-USD,9.43-B-USD,494.79-M,1.57
372,ADIL,August-13,Q2-2025,0.25-USD,0.00-USD,5.45-M-USD,,,1.6240-USD,13.20-M-USD,0.00-USD,7.76-M,0.71
373,ADM,July-29,Q2-2025,0.84-USD,21.62-B-USD,23.03-B-USD,4.22%,17.10,2.82-USD,1.80-B-USD,85.50-B-USD,477.13-M,0.44
374,ADMA,August-6,Q2-2025,0.15-USD,124.13-M-USD,4.87-B-USD,,23.88,0.88-USD,197.67-M-USD,426.45-M-USD,230.40-M,0.93
375,ADN,Tomorrow,Q4-2024,,,6.22-M-USD,,,24.90-USD,71.40-M-USD,4.86-M-USD,2.53-M,2.55
376,ADNT,,,0.42-USD,3.55-B-USD,1.24-B-USD,,,3.19-USD,18.00-M-USD,14.69-B-USD,82.00-M,0.84
